Date,Temperature,Wind Speed
2013-11-09,51.1,6.9
2013-11-10,57.9,11.39
2013-11-11,61.0,12.77
2013-11-12,62.1,17.26
2013-11-13,62.1,10.24
2013-11-14,57.0,8.06
2013-11-15,51.1,18.3
2013-11-16,51.8,21.86
2013-11-17,53.1,17.26
2013-11-18,53.6,26.35
2013-11-19,54.0,28.88
2013-11-20,54.0,17.26
2013-11-21,46.9,16.11
2013-11-22,52.0,12.77
2013-11-23,57.0,12.77
2013-11-24,57.0,12.77
2013-11-25,57.0,8.06
2013-11-26,55.9,8.06
2013-11-27,59.0,8.06
2013-11-28,59.0,6.9
2013-11-29,55.0,6.9
2013-11-30,48.9,6.9
2013-12-01,53.6,27.73
2013-12-02,53.1,24.17
2013-12-03,42.1,17.26
2013-12-04,43.0,12.77
2013-12-05,39.0,8.06
2013-12-06,36.0,25.32
2013-12-07,32.0,14.96
2013-12-08,30.9,6.9
2013-12-09,30.9,6.9
2013-12-10,35.6,6.9
2013-12-11,44.1,6.9
2013-12-12,46.0,13.81
2013-12-13,46.9,14.96
2013-12-14,46.9,10.24
2013-12-15,48.9,9.21
2013-12-16,48.9,10.24
2013-12-17,46.9,10.24
2013-12-18,48.0,14.96
2013-12-19,48.0,8.06
2013-12-20,50.0,28.88
2013-12-21,50.0,21.86
2013-12-22,51.8,17.26
2013-12-23,51.1,21.86
2013-12-24,51.1,6.9
2013-12-25,48.9,10.24
2013-12-26,50.0,6.9
2013-12-27,50.0,6.9
2013-12-28,46.9,9.21
2013-12-29,46.9,8.06
2013-12-30,46.9,11.39
2013-12-31,46.9,4.72
2014-01-01,46.9,8.06
2014-01-02,52.0,14.96
2014-01-03,52.0,20.83
2014-01-04,48.9,16.11
2014-01-05,50.0,16.11
2014-01-06,50.0,13.81
2014-01-07,48.0,10.24
2014-01-08,51.1,25.32
2014-01-09,51.1,29.92
2014-01-10,53.1,19.68
2014-01-11,53.6,34.41
2014-01-12,54.0,28.88
2014-01-13,51.1,18.3
2014-01-14,52.0,8.06
2014-01-15,53.1,12.77
2014-01-16,54.0,13.81
2014-01-17,54.0,17.26
2014-01-18,54.0,6.9
2014-01-19,48.9,8.06
2014-01-20,55.9,13.81
2014-01-21,55.9,14.96
2014-01-22,50.0,10.24
2014-01-23,55.0,24.17
2014-01-24,60.1,24.17
2014-01-25,60.1,13.81
2014-01-26,57.9,8.06
2014-01-27,57.9,8.06
2014-01-28,50.0,11.39
2014-01-29,52.0,24.17
2014-01-30,52.0,20.83
2014-01-31,48.9,13.81
2014-02-01,48.9,8.06
2014-02-02,48.0,9.21
2014-02-03,46.9,9.21
2014-02-04,44.1,13.81
2014-02-05,42.1,24.17
2014-02-06,35.1,24.17
2014-02-07,32.0,20.83
2014-02-08,36.0,23.02
2014-02-09,42.1,21.86
2014-02-10,52.0,19.68
2014-02-11,52.0,23.02
2014-02-12,53.1,37.98
2014-02-13,53.1,19.68
2014-02-14,54.0,24.17
2014-02-15,54.0,33.26
2014-02-16,54.0,34.41
2014-02-17,51.1,34.41
2014-02-18,51.8,25.32
2014-02-19,51.1,21.86
2014-02-20,48.9,24.17
2014-02-21,48.0,12.77
2014-02-22,48.0,12.77
2014-02-23,48.0,12.77
2014-02-24,51.1,12.77
2014-02-25,59.0,17.26
2014-02-26,59.0,17.26
2014-02-27,55.9,9.21
2014-02-28,64.0,19.68
2014-03-01,64.0,16.11
2014-03-02,53.1,24.17
2014-03-03,53.1,32.22
2014-03-04,55.4,18.3
2014-03-05,55.9,25.32
2014-03-06,55.9,35.79
2014-03-07,57.9,17.26
2014-03-08,57.9,28.88
2014-03-09,55.9,28.88
2014-03-10,54.0,19.68
2014-03-11,55.0,16.11
2014-03-12,61.0,8.06
2014-03-13,61.0,11.39
2014-03-14,55.9,20.83
2014-03-15,57.9,19.68
2014-03-16,57.9,19.68
2014-03-17,52.0,21.86
2014-03-18,52.0,14.96
2014-03-19,52.0,19.68
2014-03-20,50.0,18.3
2014-03-21,52.0,18.3
2014-03-22,55.9,17.26
2014-03-23,55.9,11.39
2014-03-24,66.9,23.02
2014-03-25,66.9,28.88
2014-03-26,55.9,25.32
2014-03-27,54.0,19.68
2014-03-28,55.0,20.83
2014-03-29,55.0,24.17
2014-03-30,55.0,18.3
2014-03-31,57.0,12.77
2014-04-01,57.0,11.39
2014-04-02,55.0,18.3
2014-04-03,55.0,21.86
2014-04-04,53.1,13.81
2014-04-05,53.1,20.83
2014-04-06,55.0,18.3
2014-04-07,62.1,18.3
2014-04-08,62.1,12.77
2014-04-09,55.9,17.26
2014-04-10,57.9,17.26
